Episode,Total Cost,Total Reward
0.0,493603.1207133334,-136877.37503333332
1.0,509602.22060333344,-147511.39784999995
2.0,469762.7853133334,-62493.20851666668
3.0,497194.77710666665,-129942.46489000002
4.0,478734.2328499998,-92296.29585
5.0,494372.33343000006,-148487.57541666663
6.0,550047.6246166666,-228363.7099166668
7.0,542890.9729800001,-184582.1009866667
8.0,509183.4147833334,-183372.5171333333
9.0,531191.8894299999,-159177.60654999997
10.0,541372.63543,-188129.9890833333
11.0,522192.96120333346,-146878.12764666666
12.0,528283.6779366665,-201004.2921133333
13.0,547885.6111299999,-161209.61977666666
14.0,491121.8070966665,-106941.60229999998
15.0,807609.0520166666,-389400.58688
16.0,484460.57305666653,-83301.75414999998
17.0,563518.3681799999,-302223.9257500001
18.0,537435.3284199998,-162627.43916666662
19.0,527466.5645133334,-160153.18018333337
